Lambda,coldStart,count,avgDuration,minDuration,maxDuration,StdDevDuration,avgBilled,minBilled,maxBilled,StdDevBilled,avgRam,minRam,maxRam,StdDevRam
,0,934,322.5259,3.21,5279.55,900.0959,323.0428,4,5280,900.0921,64.5874,57.2205,75.3403,3.0065
,1,100,707.0071,662.15,812.93,27.6689,707.48,663,813,27.653,60.2245,56.2668,65.8035,2.7488
