function,coldstart,calls,sumDuration,avgDuration,p0,p25,p50,p75,p90,p95,p100,avgBilled,minBilled,maxBilled,stddevBilled,avgRam,minRam,maxRam,stddevRam
Vapor,0,123,9715.89,78.991,23.5,27.5594,33.19,132.232,143.0964,147.1577,173.12,79.5203,24,174,52.836,72.2234,66.7572,80.1086,2.8209
Vapor,1,20,14306.45,715.3225,674.27,698.21,710.57,720.02,759.42,766.04,766.46,715.95,675,767,24.3936,68.2354,64.8499,73.4329,2.5496
