Lambda,coldStart,count,avgDuration,minDuration,maxDuration,StdDevDuration,avgBilled,minBilled,maxBilled,StdDevBilled,avgRam,minRam,maxRam,StdDevRam
,0,76,86.6238,21.89,172.76,57.7321,87.0395,22,173,57.7135,70.848,65.8035,76.2939,2.086
,1,14,731.6193,706.78,787.81,21.916,732.1429,707,788,21.928,68.5283,64.8499,74.3866,2.6453
