Lambda,coldStart,count,avgDuration,minDuration,maxDuration,StdDevDuration,avgBilled,minBilled,maxBilled,StdDevBilled,avgRam,minRam,maxRam,StdDevRam
,0,916,394.0661,5.85,5104.35,1079.7142,394.5742,6,5105,1079.723,71.9399,56.2668,79.155,3.5084
,1,100,733.1311,690.12,794.97,23.3904,733.64,691,795,23.3694,67.7204,56.2668,74.3866,2.8784
